company_id,company_name,domain,country,industry,employee_range,track,signal,signal_url,signal_date,pain_hypothesis,technology_signal,priority,score,research_notes,created_at
B016,Noatum Logistics,noatumlogistics.com,Spain,Logistics,1001-5000,logistics_automation,Logistics and freight forwarding services,https://www.noatumlogistics.com/,2026-08-16,Logistics operations likely include repetitive document processing and invoice workflows.,Freight forwarding,medium,63,Large target.,2026-08-16
B017,Ahlers,ahlers.com,Belgium,Logistics,201-500,logistics_automation,International logistics provider,https://www.ahlers.com/,2026-08-16,International logistics workflows likely need document and shipment-data automation.,Logistics services,high,67,Good EU operations target.,2026-08-16
B018,Rhenus Logistics,rhenus.group,Germany,Logistics,10000+,logistics_automation,Global logistics services,https://www.rhenus.group/,2026-08-16,Large logistics operations likely have many repetitive document workflows but procurement is heavy.,Logistics services,low,55,Too large for first outreach; benchmark only.,2026-08-16
B019,Fercam,fercam.com,Italy,Logistics,1001-5000,logistics_automation,Transport and logistics services,https://www.fercam.com/,2026-08-16,Transport operations likely include repeated shipment document and email workflows.,Logistics services,medium,62,Large but relevant.,2026-08-16
B020,cargo-partner,cargo-partner.com,Austria,Freight forwarding,1001-5000,logistics_automation,International transport and logistics provider,https://www.cargo-partner.com/,2026-08-16,Freight forwarding workflows likely include repetitive data entry from shipment documents.,Freight forwarding,medium,63,Large but relevant.,2026-08-16
C001,Shelly,shelly.com,Bulgaria,Connected devices,201-500,cra_engineering_readiness,Smart home and IoT product company,https://www.shelly.com/,2026-08-16,As a connected-device product company selling into Europe, they may need engineering evidence and vulnerability workflows for CRA readiness.,IoT devices,high,74,Label as CRA relevance hypothesis only.,2026-08-16
C002,Teltonika Networks,teltonika-networks.com,Lithuania,Connected devices,501-1000,cra_engineering_readiness,Industrial networking products,https://teltonika-networks.com/,2026-08-16,Network device engineering likely needs vulnerability intake, SBOM, remediation evidence, and incident reporting workflows.,Network hardware,high,78,Strong connected-product signal.,2026-08-16
C003,Axis Communications,axis.com,Sweden,Connected devices,1001-5000,cra_engineering_readiness,Network cameras and connected security products,https://www.axis.com/,2026-08-16,Connected security products likely require strong product-security workflows and evidence trails.,Connected security devices,medium,70,Large but relevant.,2026-08-16
C004,Paxton Access,paxton-access.com,UK,Connected security,201-500,cra_engineering_readiness,Access control and security systems,https://www.paxton-access.com/,2026-08-16,Connected access-control products likely need vulnerability handling and incident workflow readiness.,Connected security systems,high,72,Good product-security fit.,2026-08-16
C005,Netatmo,netatmo.com,France,Smart home,51-200,cra_engineering_readiness,Smart home products,https://www.netatmo.com/,2026-08-16,Smart home product teams may need SBOM and vulnerability reporting workflow readiness.,IoT devices,high,70,CRA relevance hypothesis.,2026-08-16
C006,Withings,withings.com,France,Connected health devices,201-500,cra_engineering_readiness,Connected health products,https://www.withings.com/,2026-08-16,Connected-device engineering may need security evidence and vulnerability operations readiness.,Connected devices,medium,68,Avoid regulated medical advice positioning.,2026-08-16
C007,Arduino,arduino.cc,Italy,Developer hardware,201-500,cra_engineering_readiness,Hardware and software products for connected devices,https://www.arduino.cc/,2026-08-16,Hardware/software product operations may need engineering workflows for vulnerability intake and evidence.,Hardware/software platform,high,70,Good developer-product angle.,2026-08-16
C008,AVM,avm.de,Germany,Networking devices,501-1000,cra_engineering_readiness,FRITZ networking products,https://en.avm.de/,2026-08-16,Networking product engineering likely needs vulnerability reporting and remediation evidence workflows.,Networking hardware,high,76,Strong product-security fit.,2026-08-16
C009,TeamViewer,teamviewer.com,Germany,Software,1001-5000,cra_engineering_readiness,Remote connectivity software,https://www.teamviewer.com/,2026-08-16,Remote connectivity software likely needs strong vulnerability workflow and product-security evidence operations.,Software product,medium,68,Large but relevant.,2026-08-16
C010,AnyDesk,anydesk.com,Germany,Software,201-500,cra_engineering_readiness,Remote desktop software,https://anydesk.com/,2026-08-16,Remote access software likely needs vulnerability intake and incident evidence workflows.,Software product,high,72,Good security-sensitive software target.,2026-08-16
C011,JetBrains,jetbrains.com,Czech Republic,Developer tools,1001-5000,cra_engineering_readiness,Developer software products,https://www.jetbrains.com/,2026-08-16,Developer-tool product teams may need product-security evidence and vulnerability workflows for EU readiness.,Software product,medium,66,Large mature engineering org.,2026-08-16
C012,Odoo,odoo.com,Belgium,Business software,1001-5000,cra_engineering_readiness,Business software platform,https://www.odoo.com/,2026-08-16,Business software product teams may need engineering evidence and vulnerability handling workflows.,Software product,medium,65,Large target; procurement likely.,2026-08-16
C013,Proton,proton.me,Switzerland,Software,501-1000,cra_engineering_readiness,Security and privacy software products,https://proton.me/,2026-08-16,Security-sensitive software products likely need strong vulnerability and incident process evidence.,Security software,medium,68,Mature security team likely.,2026-08-16
C014,Bitwarden,bitwarden.com,US,Security software,201-500,cra_engineering_readiness,Password manager and security products,https://bitwarden.com/,2026-08-16,Security software likely needs product-security workflow evidence and vulnerability operations.,Security software,medium,66,Likely mature security practice.,2026-08-16
C015,Mattermost,mattermost.com,US,Collaboration software,201-500,cra_engineering_readiness,Secure collaboration software,https://mattermost.com/,2026-08-16,Collaboration software product teams may need vulnerability intake and evidence workflow readiness.,Software product,medium,65,Security-conscious messaging may resonate.,2026-08-16
C016,Home Assistant,Nabu Casa,US/Netherlands,Connected home software,51-200,cra_engineering_readiness,Smart home software and cloud services,https://www.nabucasa.com/,2026-08-16,Connected home software may need product-security evidence and vulnerability workflow readiness.,Smart home software,high,68,Need careful buyer research.,2026-08-16
C017,The Things Industries,thethingsindustries.com,Netherlands,IoT software,51-200,cra_engineering_readiness,LoRaWAN network server and IoT platform,https://www.thethingsindustries.com/,2026-08-16,IoT platform engineering likely needs security reporting workflows and evidence operations.,IoT platform,high,72,Good EU IoT/security relevance.,2026-08-16
C018,1NCE,1nce.com,Germany,IoT connectivity,201-500,cra_engineering_readiness,IoT connectivity platform,https://www.1nce.com/,2026-08-16,IoT connectivity platform may need vulnerability and incident workflow readiness across product and integrations.,IoT connectivity,high,70,Good CRA adjacent target.,2026-08-16
C019,Wallbox,wallbox.com,Spain,Connected energy devices,1001-5000,cra_engineering_readiness,Connected EV charging products,https://wallbox.com/,2026-08-16,Connected charging products may need product-security evidence and reporting workflow readiness.,Connected devices,medium,68,Large but relevant connected-product signal.,2026-08-16
C020,Easee,easee.com,Norway,Connected energy devices,201-500,cra_engineering_readiness,Connected EV charging products,https://easee.com/,2026-08-16,Connected charging product engineering may need vulnerability intake and incident evidence workflow readiness.,Connected devices,high,70,Good connected-device target.,2026-08-16

